TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20230111221425,2,58,20,1,0,0,0
20230111221425,3,5,23,2,0,0,0
20230111221437,1,49,18,2,0,0,0
20230111221437,2,47,20,1,0,0,0
20230111221437,3,17,22,2,0,0,0
20230111221437,4,11,22,2,0,0,0
20230111221439,1,57,18,1,0,0,0
20230111221439,2,54,20,2,0,0,0
20230111221439,3,32,22,2,0,0,0
20230111221439,4,29,22,2,0,0,0
20230111221439,5,10,22,1,0,0,0
20230111221451,1,85,19,1,60,0,0
20230111221459,1,72,18,1,0,0,0
20230111221459,2,76,20,2,0,0,0
20230111221459,3,36,22,1,0,0,0
20230111221469,1,50,18,1,0,0,0
20230111221469,2,41,20,2,0,0,0
20230111221469,3,10,22,2,0,0,0
20230111221483,1,36,18,2,0,0,0
20230111221483,3,5,22,2,0,0,0
20230111221483,4,12,40,1,0,0,0
20230111221515,1,76,19,2,0,0,0
20230111221517,1,35,18,2,0,0,0
20230111221517,2,36,20,1,0,0,0
20230111221517,3,4,22,1,0,0,0
20230111221517,4,0,22,1,0,0,0
20230111221527,1,40,18,2,0,0,0
20230111221527,2,34,21,1,0,0,0
20230111221530,1,77,18,2,0,0,0
20230111221530,2,76,20,1,0,0,0
20230111221535,1,35,18,2,0,0,0
20230111221535,2,35,20,1,0,0,0
20230111221535,3,4,22,1,0,0,0
20230111221535,4,2,22,1,0,0,0
20230111221538,1,15,18,2,0,0,0
20230111221538,2,53,24,1,0,0,0
20230111221538,3,47,24,2,0,0,0
20230111221538,4,18,25,2,0,0,0
20230111221538,5,13,25,2,0,0,0
20230111221546,1,58,19,1,0,0,0
20230111221546,2,11,27,2,0,0,0
20230111221556,1,57,19,2,0,0,0
20230111221562,1,85,19,1,60,0,0
20230111221588,1,33,18,1,0,0,0
20230111221588,2,33,20,2,0,0,0
20230111221588,3,3,22,2,0,0,0
20230111221588,4,1,22,1,0,0,0
20230111221605,1,64,19,1,0,0,0
20230111221609,1,73,18,2,0,0,0
20230111221609,2,73,20,1,0,0,0
20230111221611,1,60,19,1,0,0,0
20230111221613,1,42,18,1,0,0,0
20230111221613,2,16,22,1,0,0,0
